Aprikosen-Auflauf	100g Butter, 50g Zucker, 3 Eier, 2EL Grieß, 500g Magerquark, 1 Zitrone (BIO), 500g Aprikose (frisch od. Dose), Mandelplättchen, Salz	Caritas Kochbuch S. 13	0	0
Blumenkohlauflauf	1 Blumenkohl, 200g Hinterschinken, 100g Käse, 2 Becher Sahne od. 3.5%Joghurt, 2 Eier, etwas Butter, Salz, Pfeffer, Muskat, Mehl	Caritas Kochbuch S. 15	0	0
